SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,Unit at 40 E -50 10th St,New York,NY,10003,1595000,2,1.0,Central Village,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/101-E-10th-St-10003/home/172521823,REBNY,DEGI4351476,N,Y,40.7306461,-73.9886081
MLS Listing,,Condo/Co-op,Unit at 15 Broad St,New York,NY,10005,1900000,1,2.0,Financial District,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/15-Broad-St-10005/home/45188408,REBNY,UCOM317346,N,Y,40.7065317,-74.0105879
MLS Listing,,Condo/Co-op,Unit at 255 W End Ave,New York,NY,10023,1849500,3,2.0,Upper West Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/255-W-End-Ave-10023/home/108531667,REBNY,UCOM1069668,N,Y,40.7796,-73.9850461
MLS Listing,,Condo/Co-op,Unit at 343 E 30th St,New York,NY,10016,899000,1,1.0,Middle East Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/343-E-30th-St-10016/home/45256510,REBNY,DEGI4351091,N,Y,40.7420749,-73.9757973
MLS Listing,,Condo/Co-op,Unit at 372 Fifth Ave,New York,NY,10018,479000,0,1.0,Middle East Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/372-5th-Ave-10018/home/45174916,REBNY,CSRE3442,N,Y,40.7492776,-73.9842289
MLS Listing,,Condo/Co-op,Unit at 253 E 7th St,New York,NY,10009,2650000,3,2.5,East Village,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/253-E-7th-St-10009/home/147154187,REBNY,SNRE1887424,N,Y,40.7238068,-73.9778
MLS Listing,,Condo/Co-op,Unit at 150 Columbus Ave,New York,NY,10023,3800000,3,3.5,Upper West Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/150-Columbus-Ave-10023/home/172398526,REBNY,ELHA20205,N,Y,40.7740005,-73.9816754
MLS Listing,,Condo/Co-op,Unit at 1212 Fifth Ave,New York,NY,10029,4250000,3,3.0,Upper East Side,,,,1,,,Active,,,http://www.redfin.com/NY/New-York/1212-5th-Ave-10029/home/45339583,REBNY,CORC6108088,N,Y,40.7914902,-73.9528464
MLS Listing,,Condo/Co-op,Unit at 136 E 64th St,New York,NY,10065,1500000,2,2.0,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/136-E-64th-St-10065/home/172520570,REBNY,STRI1888326,N,Y,40.765351,-73.9662915
MLS Listing,,Condo/Co-op,Unit at 37 W 12th St,New York,NY,10011,4995000,4,3.5,Greenwich Village,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/37-W-12th-St-10011/home/45142831,REBNY,UCOM157138,N,Y,40.7354405,-73.9959959
MLS Listing,,Condo/Co-op,Unit at 206 E 95th St,New York,NY,10128,1299000,2,2.0,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/206-E-95th-St-10128/home/45207149,REBNY,CORC6108023,N,Y,40.7841068,-73.9493801
MLS Listing,,Condo/Co-op,Unit at 435 E 65th St,New York,NY,10065,430000,0,1.0,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/435-E-65th-St-10065/home/53326890,REBNY,BHSR20254776,N,Y,40.7628525,-73.9574339
MLS Listing,,Condo/Co-op,Unit at 240 E 76th St,New York,NY,10021,535000,0,1.0,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/240-E-76th-St-10021/home/45203369,REBNY,BHSR20256984,N,Y,40.7714098,-73.9568334
